id;no;url;votes;created_at;updated_at;airdate;notes
4b86d30028448251e700009d;387;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-387-a-153663/;31;2009-01-15 09:00:05;2010-03-18 07:37:02;2009-01-15 00:00:00;
4b86d30028448251e700009e;388;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-388-a-154102/;34;2009-01-22 09:00:05;2010-03-18 07:37:02;2009-01-22 00:00:00;
4b86d30028448251e700009f;389;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-389-a-154550/;34;2009-01-29 09:00:03;2010-03-18 07:37:02;2009-01-29 00:00:00;
4b86d30028448251e70000a0;390;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-390-a-155061/;54;2009-02-05 09:00:03;2010-03-18 07:37:02;2009-02-05 00:00:00;
4b86d30028448251e70000a1;391;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-391-a-155486/;17;2009-02-12 09:00:03;2010-03-18 07:37:02;2009-02-12 00:00:00;
4b86d30028448251e70000a2;392;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-392-a-155944/;36;2009-02-19 09:00:02;2010-03-18 07:37:02;2009-02-19 00:00:00;
4b86d30028448251e70000a3;393;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-393-a-156432/;40;2009-02-26 09:00:04;2010-03-18 07:37:02;2009-02-26 00:00:00;
4b86d30028448251e70000a4;394;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-394-a-156868/;67;2009-03-05 09:00:03;2010-03-18 07:37:02;2009-03-05 00:00:00;
4b86d30028448251e70000a5;395;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-395-a-157679/;49;2009-03-12 09:00:02;2010-03-18 07:37:02;2009-03-12 00:00:00;
4b86d30028448251e70000a6;396;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-396-a-158021/;28;2009-03-19 10:00:01;2010-03-18 07:37:02;2009-03-19 00:00:00;
4b86d30028448251e70000a7;397;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-397-a-158448/;46;2009-03-26 10:00:02;2010-03-18 07:37:02;2009-03-26 00:00:00;
4b86d30028448251e70000a8;398;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-398-a-159056/;64;2009-04-02 10:00:02;2010-04-17 20:56:19;2009-04-02 00:00:00;
4b86d30028448251e70000a9;399;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-399-a-159394/;27;2009-04-09 10:00:02;2010-03-18 07:37:02;2009-04-09 00:00:00;
4b86d30028448251e70000aa;400;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-400-live-159903/;299;2009-07-06 18:32:10;2010-03-29 22:02:12;2009-04-16 00:00:00;
4b86d30028448251e70000ab;401;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-401-a-160497/;56;2009-07-06 18:30:42;2010-03-18 07:37:02;2009-04-23 00:00:00;
4b86d30028448251e70000ac;403;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-403-a-161791/;31;2009-07-06 18:29:03;2010-03-18 07:37:02;2009-05-07 00:00:00;
4b86d30028448251e70000ad;404;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-404-a-162634/;23;2009-07-06 18:28:14;2010-03-18 07:37:02;2009-05-14 00:00:00;
4b86d30028448251e70000ae;405;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-405-a-163123/;25;2009-07-06 18:27:47;2010-03-18 07:37:02;2009-05-21 00:00:00;
4b86d30028448251e70000af;406;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-406-a-163671/;34;2009-07-06 18:27:04;2010-03-18 07:37:03;2009-05-28 00:00:00;
4b86d30028448251e70000b0;407;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-407-a-164083/;25;2009-07-06 18:26:35;2010-03-18 07:37:03;2009-06-04 00:00:00;
4b86d30028448251e70000b1;408;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-408-a-164532/;33;2009-07-06 18:25:50;2010-03-18 07:37:03;2009-06-11 00:00:00;
4b86d30028448251e70000b2;409;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-409-a-165155/;10;2009-07-06 18:25:24;2010-03-18 07:37:03;2009-06-18 00:00:00;
4b86d30028448251e70000b3;410;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-410-a-165556/;14;2009-07-06 18:24:14;2010-04-12 17:09:53;2009-06-25 00:00:00;
4b86d30028448251e70000b4;411;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-411-recorded-live-168510/;30;2009-07-06 18:21:53;2010-03-18 07:37:03;2009-07-02 00:00:00;Live at the Winter Sound System, Melbourne, Australia
4b86d30028448251e70000b5;412;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-412-a-169255/;47;2009-11-17 19:36:02;2010-03-18 07:37:03;2009-07-09 00:00:00;
4b86d30028448251e70000b6;413;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-413-recorded-live-169858/;33;2009-11-17 19:36:04;2010-03-18 07:37:03;2009-07-16 00:00:00;Live from Armada at Amnesia, Ibiza
4b86d30028448251e70000b7;414;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-414-a-170443/;33;2009-11-17 19:36:06;2010-03-18 07:37:03;2009-07-23 00:00:00;
4b86d30028448251e70000b8;415;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-415-a-171206/;42;2009-11-17 19:36:08;2010-03-18 07:37:03;2009-07-30 00:00:00;
4b86d30028448251e70000b9;416;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-416-a-171822/;32;2009-11-17 19:36:11;2010-03-18 07:37:03;2009-08-06 00:00:00;Hour 2: Live from Armada at Amnesia, Ibiza
4b86d30028448251e70000ba;417;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-417-a-172355/;24;2009-11-17 19:36:12;2010-03-18 07:37:03;2009-08-13 00:00:00;
4b86d30028448251e70000bb;418;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-418-a-172971/;32;2009-11-17 19:36:14;2010-03-18 07:37:03;2009-08-20 00:00:00;
4b86d30028448251e70000bc;419;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-419-a-173656/;31;2009-11-17 19:36:16;2010-03-18 07:37:03;2009-08-27 00:00:00;
4b86d30028448251e70000bd;420;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-420-a-174159/;27;2009-11-17 19:36:18;2010-03-18 07:37:03;2009-09-03 00:00:00;
4b86d30028448251e70000be;421;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-421-a-174529/;38;2009-11-17 19:36:20;2010-03-18 07:37:03;2009-09-10 00:00:00;Hour 2: Live from Armada at Amnesia, Ibiza
4b86d30028448251e70000bf;422;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-422-a-175118/;27;2009-11-17 19:36:22;2010-03-18 07:37:03;2009-09-17 00:00:00;
4b86d30028448251e70000c0;423;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-423-a-175662/;75;2009-11-17 19:36:24;2010-03-18 07:37:03;2009-09-24 00:00:00;
4b86d30028448251e70000c1;424;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-424-takeover-175949/;34;2009-11-17 19:36:26;2010-03-18 07:37:03;2009-10-01 00:00:00;The Takeover: Andy Moor and John O’Callaghan
4b86d30028448251e70000c2;425;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-425-a-176553/;40;2009-11-17 19:36:28;2010-03-18 07:37:03;2009-10-08 00:00:00;
4b86d30028448251e70000c3;426;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-426-a-177264/;40;2009-11-17 19:36:30;2010-03-18 07:37:03;2009-10-15 00:00:00;
4b86d30028448251e70000c4;427;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-427-a-178902/;26;2009-11-17 19:36:32;2010-03-18 07:37:03;2009-10-22 00:00:00;
4b86d30028448251e70000c5;428;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-428-a-181770/;43;2009-11-17 19:36:34;2010-03-29 09:22:41;2009-10-29 00:00:00;Hour 2: Live from Godskitchen’s Boombox, Ljubljana
4b86d30028448251e70000c6;429;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-429-a-183116/;40;2009-11-17 19:36:36;2010-03-18 07:37:03;2009-11-05 00:00:00;
4b86d30028448251e70000c7;430;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-430-a-184123/;27;2009-11-17 19:36:38;2010-03-18 07:37:03;2009-11-12 00:00:00;
4b86d30028448251e70000c8;431;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-431-a-184654/;38;2009-11-19 10:00:02;2010-03-18 07:37:03;2009-11-19 00:00:00;
4b86d30028448251e70000c9;432;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-432-a-185109/;46;2009-11-26 10:00:01;2010-03-18 07:37:03;2009-11-26 00:00:00;
4b86d30028448251e70000ca;433;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-433-a-185594/;19;2009-12-03 10:00:02;2010-03-18 07:37:03;2009-12-03 00:00:00;
