id;no;url;votes;created_at;updated_at;airdate;notes
134;230;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-230-a-94354/;29;2008-10-30 10:12:20;2008-10-30 16:56:23;2006-01-05 00:00:00;
135;231;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-231-a-94712/;33;2008-10-30 10:12:23;2008-10-31 08:57:42;2006-01-12 00:00:00;
136;232;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-232-a-95025/;16;2008-10-30 10:12:25;2008-10-31 08:57:42;2006-01-19 00:00:00;
137;233;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-233-a-95348/;55;2008-10-30 10:12:28;2008-10-30 16:56:30;2006-01-26 00:00:00;
138;234;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-234-a-95704/;23;2008-10-30 10:12:30;2008-10-31 08:57:42;2006-02-02 00:00:00;
139;235;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-235-a-96195/;39;2008-10-30 10:12:33;2008-10-30 16:56:35;2006-02-09 00:00:00;
140;236;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-236-a-96524/;38;2008-10-30 10:12:35;2008-10-31 08:57:42;2006-02-16 00:00:00;
141;237;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-237-a-96958/;39;2008-10-30 10:12:38;2008-10-30 16:56:39;2006-02-23 00:00:00;
142;238;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-238-a-97394/;51;2008-10-30 10:12:41;2008-10-31 08:57:42;2006-03-02 00:00:00;
143;239;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-239-a-97776/;44;2008-10-30 10:12:44;2008-10-31 08:57:42;2006-03-09 00:00:00;
144;240;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-240-a-98110/;38;2008-10-30 10:12:46;2008-10-31 08:57:42;2006-03-16 00:00:00;
145;241;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-241-a-98506/;72;2008-10-30 10:12:49;2008-10-30 16:56:48;2006-03-23 00:00:00;
146;242;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-242-a-98958/;44;2008-10-30 10:12:51;2008-10-30 16:56:50;2006-03-30 00:00:00;
147;243;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-243-a-99309/;38;2008-10-30 10:12:54;2008-10-31 08:57:42;2006-04-06 00:00:00;
148;244;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-244-a-99635/;41;2008-10-30 10:12:57;2008-10-31 08:57:42;2006-04-13 00:00:00;
149;245;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-245-a-99906/;51;2008-10-30 10:12:59;2008-10-30 16:56:58;2006-04-20 00:00:00;
150;246;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-246-a-100306/;45;2008-10-30 10:13:02;2008-10-30 16:57:00;2006-04-27 00:00:00;
151;247;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-247-a-100673/;40;2008-10-30 10:13:05;2008-10-30 16:57:02;2006-05-04 00:00:00;
152;248;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-248-a-101034/;46;2008-10-30 10:13:08;2008-10-31 08:57:42;2006-05-11 00:00:00;
153;249;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-249-a-101574/;62;2008-10-30 10:13:10;2008-10-30 16:57:07;2006-05-18 00:00:00;
71;250;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-250-live-101968/;299;2008-10-30 10:07:38;2008-10-31 22:02:33;2006-05-25 00:00:00;8 hour show. Live from Asta, The Hague, The Netherlands
72;251;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-251-a-102319/;34;2008-10-30 10:07:41;2008-10-30 16:54:00;2006-06-01 00:00:00;
73;252;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-252-a-102818/;32;2008-10-30 10:07:44;2008-10-30 16:54:03;2006-06-08 00:00:00;
74;253;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-253-a-103275/;53;2008-10-30 10:07:46;2008-10-30 16:54:05;2006-06-15 00:00:00;
75;254;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-254-a-103580/;30;2008-10-30 10:07:49;2008-10-30 16:54:07;2006-06-22 00:00:00;
76;255;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-255-a-103858/;39;2008-10-30 10:07:51;2008-10-30 16:54:09;2006-06-29 00:00:00;
77;256;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-256-a-104131/;45;2008-10-30 10:07:53;2008-10-30 16:54:11;2006-07-06 00:00:00;
78;257;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-257-a-104395/;45;2008-10-30 10:07:57;2008-10-30 16:54:13;2006-07-13 00:00:00;
79;258;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-258-a-104663/;27;2008-10-30 10:08:00;2008-10-30 16:54:15;2006-07-20 00:00:00;
80;259;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-259-a-104953/;41;2008-10-30 10:08:03;2008-10-31 22:02:33;2006-07-27 00:00:00;Live from Armada Night at Amnesia
81;260;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-260-a-105233/;52;2008-10-30 10:08:05;2008-10-31 08:57:41;2006-08-03 00:00:00;
82;261;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-261-a-105666/;50;2008-10-30 10:08:08;2008-10-30 16:54:22;2006-08-10 00:00:00;
83;262;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-262-a-106002/;40;2008-10-30 10:08:10;2008-10-30 16:54:24;2006-08-17 00:00:00;
84;263;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-263-a-106284/;51;2008-10-30 10:08:13;2008-10-30 16:54:28;2006-08-24 00:00:00;
85;264;http://forums.di.fm/trance/armin-van-buuren-presents-state-of-trance-episode-264-a-106560/;35;2008-10-30 10:08:16;2008-10-31 08:57:42;2006-08-31 00:00:00;
